registration,vote_2020,gender,employment,vote_trump
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,I am not sure/don't know,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Someone else,Male,unemployed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Female,employed,0
Registered,I am not sure/don't know,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,I am not sure/don't know,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,I am not sure/don't know,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Someone else,Male,employed,0
Registered,Someone else,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,unemployed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,I am not sure/don't know,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,I am not sure/don't know,Female,unemployed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,unemployed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,I am not sure/don't know,Female,employed,0
Registered,I am not sure/don't know,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,unemployed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,I am not sure/don't know,Male,employed,0
Registered,I am not sure/don't know,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Female,unemployed,1
Registered,Someone else,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,I would not vote,Male,unemployed,0
Registered,Someone else,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,unemployed,0
Registered,I am not sure/don't know,Male,employed,0
Registered,I would not vote,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Female,employed,1
Registered,I am not sure/don't know,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,unemployed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,unemployed,0
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,unemployed,1
Registered,Joe Biden,Female,employed,0
Registered,I would not vote,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,unemployed,0
Registered,Joe Biden,Female,employed,0
Registered,I am not sure/don't know,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Someone else,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Someone else,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,unemployed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,I am not sure/don't know,Female,employed,0
Registered,Someone else,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,unemployed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,I am not sure/don't know,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,I am not sure/don't know,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,I am not sure/don't know,Female,employed,0
Registered,Donald Trump,Male,unemployed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,unemployed,0
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,unemployed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Someone else,Female,employed,0
Registered,I would not vote,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Female,employed,0
Registered,I am not sure/don't know,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,unemployed,0
Registered,Joe Biden,Female,unemployed,0
Registered,Someone else,Female,employed,0
Registered,I would not vote,Male,unemployed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,unemployed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,I would not vote,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Someone else,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,I am not sure/don't know,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,I am not sure/don't know,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,I am not sure/don't know,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Someone else,Male,employed,0
Registered,Joe Biden,Female,unemployed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,I would not vote,Female,unemployed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,unemployed,1
Registered,I am not sure/don't know,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,I would not vote,Female,unemployed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,unemployed,1
Registered,Joe Biden,Female,employed,0
Registered,I am not sure/don't know,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Female,unemployed,0
Registered,Joe Biden,Male,unemployed,0
Registered,Donald Trump,Male,employed,1
Registered,I am not sure/don't know,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,I am not sure/don't know,Male,unemployed,0
Registered,I am not sure/don't know,Female,unemployed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,unemployed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,I am not sure/don't know,Male,employed,0
Registered,Someone else,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Someone else,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Someone else,Male,employed,0
Registered,Someone else,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Female,unemployed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,I am not sure/don't know,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,unemployed,1
Registered,Donald Trump,Male,employed,1
Registered,I am not sure/don't know,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,I am not sure/don't know,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Female,employed,0
Registered,I am not sure/don't know,Female,employed,0
Registered,I would not vote,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Male,unemployed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,I am not sure/don't know,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,unemployed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,I would not vote,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,I am not sure/don't know,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,unemployed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,I am not sure/don't know,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,I am not sure/don't know,Male,unemployed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,I am not sure/don't know,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,unemployed,0
Registered,Someone else,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,unemployed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,unemployed,0
Registered,Joe Biden,Female,employed,0
Registered,I would not vote,Female,unemployed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,unemployed,0
Registered,I would not vote,Female,employed,0
Registered,I would not vote,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,unemployed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,unemployed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,unemployed,1
Registered,Someone else,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Female,unemployed,1
Registered,I am not sure/don't know,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Someone else,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,unemployed,0
Registered,I am not sure/don't know,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,unemployed,1
Registered,Donald Trump,Male,employed,1
Registered,I would not vote,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,I am not sure/don't know,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Someone else,Male,employed,0
Registered,Donald Trump,Female,employed,1
Registered,I would not vote,Female,unemployed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,I would not vote,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Someone else,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Female,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,I am not sure/don't know,Male,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Someone else,Male,employed,0
Registered,Joe Biden,Female,unemployed,0
Registered,Joe Biden,Female,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Donald Trump,Male,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Female,employed,1
Registered,Joe Biden,Male,employed,0
Registered,Joe Biden,Male,employed,0
Registered,Donald Trump,Female,employed,1
Registered,I would not vote,Male,employed,0
